"id","name","lat","lon","trip_starts","trip_start_members","trip_start_casuals","trip_ends","trip_end_members","trip_end_casuals","total_trip_activity"
"TA1307000006","Southport Ave & Wellington Ave",41.9357169012413,-87.663584860795,12857,7466,5391,12717,7376,5341,25574
"13243","Milwaukee Ave & Wabansia Ave",41.9126153927786,-87.6813908967996,12703,7516,5187,12730,7632,5098,25433
"13341","Canal St & Madison St",41.8820891243731,-87.6397721692023,12727,8457,4270,12675,8477,4198,25402
"TA1309000007","Franklin St & Monroe St",41.8802723107165,-87.6352826130134,12969,8639,4330,12419,8568,3851,25388
"13379","Clarendon Ave & Gordon Ter",41.9578530845843,-87.6494884708935,12800,8233,4567,12501,8155,4346,25301
"TA1307000113","Southport Ave & Wrightwood Ave",41.9287780136288,-87.6638936050248,12370,6120,6250,12723,6425,6298,25093
"15535","Desplaines St & Randolph St",41.8846138951399,-87.644530957333,12512,7189,5323,12338,7053,5285,24850
"13133","Damen Ave & Cortland St",41.9159767917382,-87.6773114530165,12321,6590,5731,12496,6752,5744,24817
"SL-011","Wells St & Polk St",41.8725895746393,-87.6335432387856,12567,7154,5413,12209,6904,5305,24776
"TA1308000009","Shore Dr & 55th St",41.7952825891054,-87.5807779004671,12401,6102,6299,12352,5755,6597,24753
"TA1308000029","Stetson Ave & South Water St",41.886728691366,-87.6223220468261,12458,6725,5733,11810,5698,6112,24268
"KA1504000079","Larrabee St & Division St",41.903493923572,-87.6433410933762,12099,7214,4885,11881,7383,4498,23980
"13036","Michigan Ave & Madison St",41.8821261983631,-87.6251656615073,11937,5493,6444,12025,5808,6217,23962
"KA1504000076","Ellis Ave & 55th St",41.7942985241579,-87.6014483714502,11866,8763,3103,12070,9274,2796,23936
"TA1309000035","Clark St & Winnemac Ave",41.9733445484246,-87.6678375933826,11861,7233,4628,11963,7195,4768,23824
"13058","Dayton St & North Ave",41.910586234966,-87.6494171824755,12065,6677,5388,11654,6846,4808,23719
"TA1307000166","Halsted St & Willow St",41.9138604784891,-87.6487559361729,11879,7467,4412,11583,7273,4310,23462
"TA1309000066","Ravenswood Ave & Lawrence Ave",41.9690920132481,-87.6742264586093,11812,7822,3990,11630,7880,3750,23442
"13389","Clarendon Ave & Junior Ter",41.9609854081562,-87.6495756766225,11713,7155,4558,11720,6981,4739,23433
"TA1307000138","Lincoln Ave & Roscoe St",41.9433937554437,-87.6709691627978,11526,7062,4464,11840,7298,4542,23366
